Time, Threads, SleepTime, Buffsize, Amount
0,10,1,200,14
0,10,1,200,14
0,10,1,200,18
0,10,1,200,93
0,10,1,200,14
0,10,1,200,46
0,10,1,200,94
0,10,1,200,30
0,10,1,200,46
0,10,1,200,18
0,10,1,200,55
0,10,1,200,14
0,10,1,200,91
0,10,1,200,18
0,10,1,200,94
0,10,1,200,30
0,10,1,200,46
0,10,1,200,18
0,10,1,200,55
0,10,1,200,14
0,10,1,200,88
0,10,1,200,91
0,10,1,200,18
0,10,1,200,30
0,10,1,200,46
0,10,1,200,18
0,10,1,200,55
0,10,1,200,94
0,10,1,200,14
16,10,1,200,91
16,10,1,200,18
16,10,1,200,88
16,10,1,200,46
16,10,1,200,18
16,10,1,200,30
16,10,1,200,55
16,10,1,200,14
16,10,1,200,94
16,10,1,200,93
0,10,1,200,18
0,10,1,200,91
0,10,1,200,46
0,10,1,200,30
0,10,1,200,18
0,10,1,200,14
0,10,1,200,88
0,10,1,200,55
0,10,1,200,94
0,10,1,200,91
0,10,1,200,18
0,10,1,200,30
0,10,1,200,93
0,10,1,200,14
0,10,1,200,18
0,10,1,200,46
0,10,1,200,88
0,10,1,200,55
0,10,1,200,94
0,10,1,200,30
0,10,1,200,18
0,10,1,200,91
0,10,1,200,14
0,10,1,200,46
0,10,1,200,18
0,10,1,200,88
0,10,1,200,55
0,10,1,200,93
0,10,1,200,94
0,10,1,200,91
0,10,1,200,18
0,10,1,200,18
0,10,1,200,88
0,10,1,200,30
0,10,1,200,93
0,10,1,200,46
0,10,1,200,94
0,10,1,200,18
0,10,1,200,55
0,10,1,200,18
0,10,1,200,91
0,10,1,200,30
0,10,1,200,46
0,10,1,200,94
0,10,1,200,55
0,10,1,200,91
0,10,1,200,18
0,10,1,200,88
0,10,1,200,30
0,10,1,200,55
0,10,1,200,93
0,10,1,200,18
0,10,1,200,88
0,10,1,200,94
0,10,1,200,93
0,10,1,200,91
0,10,1,200,88
0,10,1,200,88
0,10,1,200,93
0,10,1,200,93
0,10,1,200,93
0,20,1,200,27
0,20,1,200,91
0,20,1,200,27
0,20,1,200,63
0,20,1,200,91
0,20,1,200,27
0,20,1,200,63
0,20,1,200,42
0,20,1,200,12
0,20,1,200,57
0,20,1,200,84
0,20,1,200,24
0,20,1,200,53
0,20,1,200,69
0,20,1,200,2
0,20,1,200,91
0,20,1,200,27
0,20,1,200,94
0,20,1,200,13
0,20,1,200,27
0,20,1,200,69
0,20,1,200,87
0,20,1,200,84
0,20,1,200,55
0,20,1,200,30
0,20,1,200,69
0,20,1,200,12
0,20,1,200,63
0,20,1,200,42
0,20,1,200,57
0,20,1,200,24
0,20,1,200,84
0,20,1,200,53
0,20,1,200,69
0,20,1,200,2
0,20,1,200,91
0,20,1,200,27
0,20,1,200,27
0,20,1,200,69
0,20,1,200,94
0,20,1,200,13
0,20,1,200,87
0,20,1,200,55
0,20,1,200,30
0,20,1,200,84
0,20,1,200,69
0,20,1,200,12
0,20,1,200,63
0,20,1,200,42
0,20,1,200,24
0,20,1,200,84
0,20,1,200,57
0,20,1,200,53
0,20,1,200,2
0,20,1,200,69
0,20,1,200,27
0,20,1,200,91
0,20,1,200,27
0,20,1,200,69
0,20,1,200,94
0,20,1,200,13
0,20,1,200,87
0,20,1,200,30
0,20,1,200,55
0,20,1,200,69
0,20,1,200,12
0,20,1,200,63
0,20,1,200,42
0,20,1,200,84
0,20,1,200,24
0,20,1,200,53
0,20,1,200,84
0,20,1,200,2
0,20,1,200,57
0,20,1,200,27
0,20,1,200,91
0,20,1,200,27
0,20,1,200,69
0,20,1,200,69
0,20,1,200,13
0,20,1,200,94
0,20,1,200,87
0,20,1,200,55
0,20,1,200,30
0,20,1,200,69
0,20,1,200,12
0,20,1,200,42
0,20,1,200,63
0,20,1,200,24
0,20,1,200,53
0,20,1,200,84
0,20,1,200,57
0,20,1,200,84
0,20,1,200,2
0,20,1,200,27
0,20,1,200,27
0,20,1,200,69
0,20,1,200,69
0,20,1,200,13
0,20,1,200,91
0,20,1,200,94
0,20,1,200,55
0,20,1,200,30
0,20,1,200,87
0,20,1,200,69
0,20,1,200,12
0,20,1,200,42
0,20,1,200,24
0,20,1,200,53
0,20,1,200,63
0,20,1,200,84
0,20,1,200,57
0,20,1,200,84
0,20,1,200,2
