Time, Threads, SleepTime, Buffsize, Amount
0,10,1,200,95
0,10,1,200,64
0,10,1,200,38
0,10,1,200,46
0,10,1,200,95
0,10,1,200,74
0,10,1,200,46
0,10,1,200,95
0,10,1,200,64
0,10,1,200,38
0,10,1,200,74
0,10,1,200,46
0,10,1,200,95
0,10,1,200,64
0,10,1,200,38
0,10,1,200,74
0,10,1,200,46
0,10,1,200,95
0,10,1,200,64
0,10,1,200,38
0,10,1,200,64
0,10,1,200,74
0,10,1,200,46
0,10,1,200,95
0,10,1,200,38
0,10,1,200,64
0,10,1,200,74
0,10,1,200,46
0,10,1,200,38
0,10,1,200,64
0,10,1,200,74
0,10,1,200,46
0,10,1,200,95
0,10,1,200,38
0,10,1,200,64
0,10,1,200,74
0,10,1,200,46
0,10,1,200,95
0,10,1,200,38
0,10,1,200,64
0,10,1,200,74
0,10,1,200,46
0,10,1,200,95
0,10,1,200,38
0,10,1,200,64
0,10,1,200,74
0,10,1,200,46
0,10,1,200,38
0,10,1,200,74
0,10,1,200,95
0,10,1,200,7
0,10,1,200,79
0,10,1,200,12
0,10,1,200,9
0,10,1,200,14
0,10,1,200,7
0,10,1,200,79
0,10,1,200,12
0,10,1,200,9
0,10,1,200,14
0,10,1,200,7
0,10,1,200,79
0,10,1,200,12
0,10,1,200,9
0,10,1,200,9
0,10,1,200,9
0,10,1,200,9
0,10,1,200,9
0,10,1,200,9
0,10,1,200,9
0,10,1,200,9
0,10,1,200,14
0,10,1,200,14
0,10,1,200,14
0,10,1,200,14
0,10,1,200,14
0,10,1,200,14
0,10,1,200,14
0,10,1,200,14
0,10,1,200,7
0,10,1,200,79
0,10,1,200,12
0,10,1,200,7
0,10,1,200,79
0,10,1,200,12
0,10,1,200,7
0,10,1,200,79
0,10,1,200,12
0,10,1,200,7
0,10,1,200,79
0,10,1,200,12
0,10,1,200,7
0,10,1,200,79
0,10,1,200,12
0,10,1,200,7
0,10,1,200,79
0,10,1,200,12
0,10,1,200,7
0,10,1,200,79
0,10,1,200,12
0,20,1,200,18
0,20,1,200,83
0,20,1,200,57
0,20,1,200,8
0,20,1,200,66
0,20,1,200,73
0,20,1,200,5
0,20,1,200,71
0,20,1,200,60
0,20,1,200,81
0,20,1,200,94
0,20,1,200,49
0,20,1,200,94
0,20,1,200,96
0,20,1,200,77
0,20,1,200,13
0,20,1,200,95
0,20,1,200,57
0,20,1,200,48
0,20,1,200,83
0,20,1,200,24
0,20,1,200,49
0,20,1,200,94
0,20,1,200,96
0,20,1,200,77
0,20,1,200,13
0,20,1,200,95
0,20,1,200,57
0,20,1,200,48
0,20,1,200,83
0,20,1,200,24
0,20,1,200,49
0,20,1,200,94
0,20,1,200,96
0,20,1,200,77
0,20,1,200,13
0,20,1,200,95
0,20,1,200,57
0,20,1,200,48
0,20,1,200,83
0,20,1,200,24
0,20,1,200,49
0,20,1,200,94
0,20,1,200,96
0,20,1,200,77
0,20,1,200,13
0,20,1,200,95
0,20,1,200,57
0,20,1,200,48
0,20,1,200,83
0,20,1,200,24
0,20,1,200,49
0,20,1,200,94
0,20,1,200,96
0,20,1,200,77
0,20,1,200,13
0,20,1,200,95
0,20,1,200,57
0,20,1,200,48
0,20,1,200,83
0,20,1,200,24
0,20,1,200,49
0,20,1,200,94
0,20,1,200,96
0,20,1,200,77
0,20,1,200,13
0,20,1,200,95
0,20,1,200,57
0,20,1,200,48
0,20,1,200,83
0,20,1,200,24
0,20,1,200,49
0,20,1,200,96
0,20,1,200,77
0,20,1,200,57
0,20,1,200,83
0,20,1,200,48
0,20,1,200,95
0,20,1,200,24
0,20,1,200,49
0,20,1,200,13
0,20,1,200,94
0,20,1,200,96
0,20,1,200,77
0,20,1,200,57
0,20,1,200,83
0,20,1,200,48
0,20,1,200,95
0,20,1,200,24
0,20,1,200,49
0,20,1,200,13
0,20,1,200,94
0,20,1,200,57
0,20,1,200,83
0,20,1,200,48
0,20,1,200,95
0,20,1,200,24
0,20,1,200,49
0,20,1,200,13
0,20,1,200,94
0,20,1,200,96
0,20,1,200,77
0,20,1,200,57
0,20,1,200,83
0,20,1,200,48
0,20,1,200,95
0,20,1,200,24
0,20,1,200,13
16,20,1,200,96
16,20,1,200,77
0,20,1,200,18
0,20,1,200,83
0,20,1,200,57
0,20,1,200,8
0,20,1,200,66
0,20,1,200,73
0,20,1,200,5
0,20,1,200,71
0,20,1,200,60
0,20,1,200,81
0,20,1,200,18
0,20,1,200,83
0,20,1,200,57
0,20,1,200,8
0,20,1,200,66
0,20,1,200,73
0,20,1,200,5
0,20,1,200,71
0,20,1,200,60
0,20,1,200,81
0,20,1,200,18
0,20,1,200,83
0,20,1,200,57
0,20,1,200,8
0,20,1,200,66
0,20,1,200,73
0,20,1,200,5
0,20,1,200,71
0,20,1,200,60
0,20,1,200,81
0,20,1,200,18
0,20,1,200,83
0,20,1,200,57
0,20,1,200,8
0,20,1,200,66
0,20,1,200,73
0,20,1,200,5
0,20,1,200,71
0,20,1,200,60
0,20,1,200,81
0,20,1,200,18
0,20,1,200,83
0,20,1,200,57
0,20,1,200,8
0,20,1,200,66
0,20,1,200,73
0,20,1,200,5
0,20,1,200,71
0,20,1,200,60
0,20,1,200,81
0,20,1,200,18
0,20,1,200,83
0,20,1,200,57
0,20,1,200,8
0,20,1,200,66
0,20,1,200,73
0,20,1,200,5
0,20,1,200,71
0,20,1,200,60
0,20,1,200,81
0,20,1,200,18
0,20,1,200,83
0,20,1,200,57
0,20,1,200,8
0,20,1,200,66
0,20,1,200,73
0,20,1,200,5
0,20,1,200,71
0,20,1,200,60
0,20,1,200,81
0,20,1,200,18
0,20,1,200,83
0,20,1,200,57
0,20,1,200,8
0,20,1,200,66
0,20,1,200,73
0,20,1,200,5
0,20,1,200,71
0,20,1,200,60
0,20,1,200,81
0,20,1,200,18
0,20,1,200,83
0,20,1,200,57
0,20,1,200,8
0,20,1,200,66
0,20,1,200,73
0,20,1,200,5
0,20,1,200,71
0,20,1,200,60
0,20,1,200,81
0,30,1,200,89
0,30,1,200,89
0,30,1,200,89
0,30,1,200,89
0,30,1,200,89
0,30,1,200,89
0,30,1,200,89
0,30,1,200,89
0,30,1,200,89
0,30,1,200,89
0,30,1,200,19
0,30,1,200,71
0,30,1,200,43
0,30,1,200,75
0,30,1,200,39
0,30,1,200,22
0,30,1,200,5
0,30,1,200,79
0,30,1,200,16
0,30,1,200,70
0,30,1,200,4
0,30,1,200,53
0,30,1,200,91
0,30,1,200,25
0,30,1,200,52
0,30,1,200,35
0,30,1,200,74
0,30,1,200,9
0,30,1,200,9
0,30,1,200,3
0,30,1,200,16
0,30,1,200,45
0,30,1,200,69
0,30,1,200,25
0,30,1,200,13
0,30,1,200,57
0,30,1,200,33
0,30,1,200,96
0,30,1,200,30
0,30,1,200,27
0,30,1,200,35
0,30,1,200,9
0,30,1,200,74
0,30,1,200,3
0,30,1,200,16
0,30,1,200,45
0,30,1,200,69
0,30,1,200,25
0,30,1,200,13
0,30,1,200,57
0,30,1,200,33
